Age,Salary,Gender,Department,Position,Joining Date,Performance Score,Employee Statement,Age_status,Salary_status,Gender_status,Department_status,Position_status,Joining Date_status,Performance Score_status,Employee Statement_status,Salary_validated,Gender_validated,Position_validated,Joining Date_validated,Performance Score_validated,Department_validated,Age_validated,Employee Statement_validated
Male,SIXTY THOUSAND,Male,Finance,Manager,3/25/2019,B,"I feel motivated in my role, as I learned to handle feedback constructively, through regular collaboration.",7,6,6,6,6,6,0,0,,,,,,,,
35,65000,Female,Sales,Analyst,3/25/2019,A,"I feel motivated in my role, as I learned to handle feedback constructively, while working on assigned tasks.",6,6,6,6,0,0,6,0,,,,,,,,
35,70000,Female,IT,Analyst,2/20/2020,B,"I feel motivated in my role, as I learned to handle feedback constructively, as part of normal operations.",6,6,6,6,0,6,6,0,,,,,,,,
,50000,Male,Marketing,Clerk,05-Apr-18,D,"I feel motivated in my role, as I learned to handle feedback constructively, during ongoing work cycles.",5,0,6,0,0,0,0,0,,,,,,,,
35,50000,Male,IT,Director,05-Apr-18,A,"I feel motivated in my role, as I learned to handle feedback constructively, while handling routine duties.",6,6,6,6,0,6,6,0,,,,,,,,
35,50000,Other,Finance,Clerk,05-Apr-18,D,"I feel motivated in my role, as I learned to handle feedback constructively, as part of my regular workflow.",6,6,6,6,0,6,0,0,,,,,,,,
50,50000,Female,Sales,Analyst,05-Apr-18,F,"I feel motivated in my role, by becoming more aware of priorities, over the past months.",6,6,6,6,0,6,0,0,,,,,,,,
25,SIXTY THOUSAND,Male,Finance,Clerk,3/25/2019,D,"I feel motivated in my role, by becoming more aware of priorities, during my time in this role.",6,0,6,6,0,0,6,0,,,,,,,,
,65000,Other,HR,Director,1/15/2020,D,"I feel motivated in my role, by becoming more aware of priorities, as I settled into my responsibilities.",5,0,0,0,0,0,0,0,,,,,,,,
50, NAN ,Other,Sales,Director,3/25/2019,B,"I feel motivated in my role, by becoming more aware of priorities, while adapting to daily routines.",0,5,0,0,0,0,6,0,,,,,,,,
40,55000,Female,Finance,Manager,05-Apr-18,F,"I feel motivated in my role, by becoming more aware of priorities, through regular collaboration.",0,6,6,0,0,6,0,0,,,,,,,,
25,SIXTY THOUSAND,Female,Marketing,Assistant,3/25/2019,D,"I feel motivated in my role, by becoming more aware of priorities, while working on assigned tasks.",6,0,6,6,0,0,0,0,,,,,,,,
25,SIXTY THOUSAND,Other,Sales,Manager,05-Apr-18,D,"I feel motivated in my role, by becoming more aware of priorities, as part of normal operations.",6,6,0,6,0,0,6,0,,,,,,,,
40, NAN ,Male,Sales,Director,2019.12.01,F,"I feel motivated in my role, by becoming more aware of priorities, during ongoing work cycles.",0,5,6,0,0,0,0,0,,,,,,,,
35, NAN ,Other,IT,Analyst,1/15/2020,F,"I feel motivated in my role, by becoming more aware of priorities, while handling routine duties.",0,5,6,6,0,0,0,0,,,,,,,,
50,55000,Female,Marketing,Analyst,2019.12.01,A,"I feel motivated in my role, by becoming more aware of priorities, as part of my regular workflow.",6,6,6,6,0,6,6,0,,,,,,,,
thirty,55000,Male,HR,Mr.,2/20/2020,B,"I feel motivated in my role, through practice and repetition, over the past months.",0,0,6,6,7,6,6,0,,,,,,,,
, NAN ,Male,Finance,Director,3/25/2019,F,"I feel motivated in my role, through practice and repetition, during my time in this role.",5,5,0,0,0,0,0,0,,,,,,,,
thirty,50000,Other,IT,Analyst,2/20/2020,F,"I feel motivated in my role, through practice and repetition, as I settled into my responsibilities.",0,6,6,6,6,6,6,0,,,,,,,,
40,SIXTY THOUSAND,Female,Finance,Director,3/25/2019,C,"I feel motivated in my role, through practice and repetition, while adapting to daily routines.",0,6,6,0,6,6,0,0,,,,,,,,
25,70000,Other,HR,Analyst,2019.12.01,F,"I feel motivated in my role, through practice and repetition, through regular collaboration.",0,6,6,6,0,0,0,0,,,,,,,,
25,55000,Other,HR,Director,05-Apr-18,B,"I feel motivated in my role, through practice and repetition, while working on assigned tasks.",0,6,6,0,6,0,0,0,,,,,,,,
,55000,Other,Sales,Clerk,05-Apr-18,D,"I feel motivated in my role, through practice and repetition, as part of normal operations.",5,0,0,0,0,0,0,0,,,,,,,,
25, NAN ,Male,HR,Director,3/25/2019,D,"I feel motivated in my role, through practice and repetition, during ongoing work cycles.",0,5,0,0,0,0,0,0,,,,,,,,
25,65000,Male,Finance,Director,05-Apr-18,D,"I feel motivated in my role, through practice and repetition, while handling routine duties.",6,6,6,0,0,6,6,0,,,,,,,,
,70000,Female,Marketing,Manager,2019.12.01,D,"I feel motivated in my role, through practice and repetition, as part of my regular workflow.",5,0,0,0,0,0,0,0,,,,,,,,
50,70000,Female,Marketing,Clerk,05-Apr-18,C,"I feel motivated in my role, as I improved my time management, over the past months.",6,6,0,6,0,6,0,0,,,,,,,,
50,55000,Other,Sales,Assistant,2019.12.01,F,"I feel motivated in my role, as I improved my time management, during my time in this role.",6,6,6,6,0,6,0,0,,,,,,,,
,50000,Other,Finance,Finance Director,2/20/2020,D,"12000 Government Center Pkwy # 214, Fairfax, VA 22035, USA",5,0,0,0,7,6,0,7,,,,,,,,
Age,65000,Other,Finance,Assistant,2019.12.01,A,"I feel motivated in my role, as I improved my time management, while adapting to daily routines.",7,6,0,6,0,0,0,0,,,,,,,,
25,70000,Female,HR,Analyst,1/15/2020,D,MA,0,6,6,6,0,6,0,7,,,,,,,,
25,55000,Male,Finance,Assistant,1/15/2020,F,"I feel motivated in my role, as I improved my time management, while working on assigned tasks.",6,6,0,6,6,6,0,0,,,,,,,,
40,70000,Male,IT,Director,1/15/2020,D,MA,0,0,6,0,0,6,0,7,,,,,,,,
50,65000,Other,HR,Assistant,3/25/2019,C,"I feel motivated in my role, as I improved my time management, during ongoing work cycles.",0,6,6,0,0,6,6,0,,,,,,,,
35,65000,Other,IT,Manager,3/25/2019,B,"I feel motivated in my role, as I improved my time management, while handling routine duties.",6,0,6,6,0,0,0,0,,,,,,,,
35,SIXTY THOUSAND,Other,Sales,Manager,3/25/2019,B,"I feel motivated in my role, as I improved my time management, as part of my regular workflow.",6,6,6,0,0,6,0,0,,,,,,,,
35, NAN ,Other,Marketing,Assistant,2019.12.01,F,"I feel motivated in my role, by paying closer attention to details, over the past months.",0,5,6,6,0,6,0,0,,,,,,,,
50, NAN ,Female,Sales,Manager,3/25/2019,B,"I feel motivated in my role, by paying closer attention to details, during my time in this role.",0,5,0,0,0,0,0,0,,,,,,,,
50,55000,Male,Marketing,Manager,2/20/2020,B,"I feel motivated in my role, by paying closer attention to details, as I settled into my responsibilities.",6,0,0,6,0,0,0,0,,,,,,,,
40,65000,Other,Sales,Assistant,1/15/2020,A,"I feel motivated in my role, by paying closer attention to details, while adapting to daily routines.",0,6,0,0,0,0,0,0,,,,,,,,
25,SIXTY THOUSAND,Female,Finance,Clerk,Female,F,"I feel motivated in my role, by paying closer attention to details, through regular collaboration.",0,6,0,6,0,7,0,0,,,,,,,,
40,SIXTY THOUSAND,Other,IT,Clerk,1/15/2020,F,"I feel motivated in my role, by paying closer attention to details, while working on assigned tasks.",0,0,0,6,0,0,0,0,,,,,,,,
40,70000,Other,Marketing,Analyst,3/25/2019,B,"I feel motivated in my role, by paying closer attention to details, as part of normal operations.",6,6,0,0,0,6,0,0,,,,,,,,
50,70000,Male,HR,Manager,2019.12.01,B,"I feel motivated in my role, by paying closer attention to details, during ongoing work cycles.",6,6,6,0,6,0,0,0,,,,,,,,
35,SIXTY THOUSAND,Other,IT,Assistant,05-Apr-18,B,"11711 Avon Way, Los Angeles, CA 90066, USA",6,0,6,0,0,6,0,7,,,,,,,,
